,model,year,transmission,mileage,fuelType,tax,mpg,engineSize,car_maker
4493, A3,2014,Automatic,24597,Hybrid,0,188.3,1.4,audi
1708, Yaris,2019,Automatic,7161,Hybrid,135,76.3,1.5,toyota
9475, C Class,2019,Semi-Auto,9839,Diesel,145,54.3,2.0,mercedes
1410, Yaris,2015,Manual,24563,Petrol,30,58.0,1.3,toyota
4026, Golf,2019,Manual,6514,Petrol,145,49.6,1.5,vw
5140, Fabia,2013,Manual,48339,Diesel,20,67.3,1.6,skoda
8435, Polo,2019,Manual,1147,Petrol,145,52.3,1.0,vw
2592, Q2,2017,Manual,16988,Petrol,145,50.4,1.4,audi
2624, X2,2018,Semi-Auto,25660,Diesel,145,61.4,2.0,bmw
3207, GLE Class,2017,Semi-Auto,35393,Diesel,145,42.8,3.0,mercedes
2669, Fiesta,2014,Manual,57016,Petrol,0,65.7,1.0,ford
4525, Yeti Outdoor,2017,Semi-Auto,38652,Petrol,145,51.4,1.2,skoda
4231, Golf,2016,Manual,35294,Petrol,145,47.1,2.0,vw
278, Superb,2019,Automatic,6638,Diesel,145,48.7,2.0,skoda
3274, 5 Series,2020,Semi-Auto,103,Petrol,145,50.4,2.0,bmw
8015, 2 Series,2018,Manual,18483,Petrol,145,50.4,1.5,bmw
4217, Q2,2019,Semi-Auto,3000,Petrol,145,33.2,2.0,audi
7153, C Class,2016,Semi-Auto,38265,Diesel,30,64.2,2.1,mercedes
16160, Mondeo,2016,Automatic,32217,Diesel,125,56.5,2.0,ford
2141, A3,2020,Manual,5000,Diesel,145,56.5,2.0,audi
4779, Q3,2018,Semi-Auto,19100,Petrol,145,48.7,1.4,audi
9440, Polo,2016,Manual,62000,Petrol,20,60.1,1.2,vw
12672, Kuga,2019,Manual,12088,Petrol,145,39.2,1.5,ford
5912, Grand C-MAX,2016,Automatic,19704,Diesel,30,58.9,1.5,ford
6022, Fiesta,2018,Manual,33906,Petrol,150,65.7,1.0,ford
4465, A3,2019,Semi-Auto,2480,Petrol,145,34.9,2.0,audi
12197, Up,2014,Manual,26000,Petrol,20,60.1,1.0,vw
6652, Land Cruiser,2015,Automatic,16871,Diesel,325,34.9,3.0,toyota
3548, A3,2014,Manual,53010,Petrol,30,55.4,1.4,audi
1131, Q3,2019,Semi-Auto,4444,Diesel,145,38.7,2.0,audi
5128, Aygo,2017,Manual,26912,Petrol,0,69.0,1.0,toyota
4697, GLE Class,2019,Semi-Auto,2320,Diesel,145,32.5,2.9,mercedes
7350, A3,2017,Manual,25351,Petrol,20,60.1,1.0,audi
11037, Tiguan,2018,Manual,17728,Diesel,145,58.9,2.0,vw
4898, Golf,2012,Manual,41049,Petrol,300,34.9,2.0,vw
7007, A Class,2016,Semi-Auto,37132,Petrol,200,40.9,2.0,mercedes
5633, Q5,2017,Semi-Auto,26396,Diesel,200,47.1,2.0,audi
3918, Golf,2020,Semi-Auto,1000,Petrol,145,43.5,1.5,vw
13146, C-MAX,2015,Manual,48885,Petrol,30,55.4,1.0,ford
2992, Q3,2016,Semi-Auto,49237,Petrol,145,47.9,1.4,audi
7598, B Class,2019,Semi-Auto,2662,Petrol,145,44.8,1.3,mercedes
1846, Golf,2016,Manual,17957,Diesel,20,72.4,1.6,vw
10370, C Class,2017,Automatic,23434,Petrol,150,48.7,2.0,mercedes
3148, 4 Series,2016,Semi-Auto,52783,Petrol,235,38.2,3.0,bmw
1137, Scala,2019,Manual,8875,Diesel,145,57.7,1.6,skoda
9081, X5,2016,Automatic,62756,Diesel,200,47.1,3.0,bmw
14280, Touran,2019,Manual,7000,Diesel,145,47.9,2.0,vw
1052, Yaris,2019,Manual,3745,Petrol,145,47.9,1.5,toyota
6115, A6,2019,Semi-Auto,9151,Petrol,145,34.0,2.0,audi
5319, B Class,2019,Manual,169,Petrol,145,44.8,1.3,mercedes
1873, B Class,2016,Semi-Auto,12697,Diesel,20,68.9,2.1,mercedes
8315, Fiesta,2018,Manual,11434,Petrol,145,65.7,1.0,ford
1982, Golf,2017,Semi-Auto,13029,Diesel,145,57.7,2.0,vw
6734, T-Cross,2020,Automatic,2500,Diesel,145,51.4,1.6,vw
7858, Focus,2017,Manual,31070,Diesel,150,74.3,1.5,ford
5682, 3 Series,2014,Semi-Auto,67000,Diesel,125,58.9,2.0,bmw
2267, 3 Series,2020,Semi-Auto,9,Petrol,145,34.9,3.0,bmw
4950, Golf,2013,Manual,46409,Petrol,160,44.1,1.4,vw
1331, Fabia,2017,Manual,25588,Petrol,145,64.2,1.0,skoda
7383, A Class,2020,Semi-Auto,1000,Petrol,145,53.3,1.3,mercedes
12956, Up,2018,Manual,30632,Petrol,145,64.2,1.0,vw
1459, 2 Series,2019,Manual,123,Petrol,145,52.3,1.5,bmw
13932, Arteon,2019,Automatic,6600,Diesel,145,50.4,2.0,vw
3515, A3,2018,Semi-Auto,11924,Petrol,150,42.2,1.5,audi
890, A3,2019,Automatic,5793,Diesel,145,52.3,1.6,audi
4840, Aygo,2016,Manual,36189,Petrol,0,69.0,1.0,toyota
1540, X3,2019,Automatic,1926,Diesel,145,54.3,2.0,bmw
2031, Golf,2016,Manual,27197,Petrol,30,53.3,1.4,vw
16758, Focus,2014,Manual,63785,Petrol,30,56.5,1.0,ford
9719, C Class,2017,Automatic,18000,Diesel,145,58.9,2.1,mercedes
9285, Polo,2019,Manual,12459,Petrol,145,48.7,1.0,vw
6819, A3,2019,Semi-Auto,7470,Petrol,145,40.4,2.0,audi
6111, B Class,2019,Semi-Auto,11877,Diesel,145,68.9,2.1,mercedes
278, Fiesta,2018,Manual,7892,Petrol,145,65.7,1.0,ford
5684, A1,2019,Manual,291,Petrol,150,46.3,1.5,audi
6948, Polo,2016,Manual,41586,Petrol,20,60.1,1.2,vw
12770, S Class,2010,Automatic,38000,Petrol,570,19.5,6.2,mercedes
17699, Grand C-MAX,2011,Automatic,90000,Diesel,200,48.7,2.0,ford
1460, Yaris,2018,Manual,14970,Petrol,145,56.5,1.5,toyota
895, 1 Series,2019,Manual,917,Petrol,150,44.8,1.5,bmw
7940, Focus,2017,Semi-Auto,14392,Petrol,125,51.4,1.0,ford
2190, Yaris,2015,Manual,46604,Diesel,0,80.7,1.4,toyota
6133, Passat,2017,Manual,31632,Diesel,20,68.9,2.0,vw
3668, 4 Series,2019,Automatic,500,Petrol,145,41.5,3.0,bmw
9622, A3,2012,Manual,46000,Petrol,205,40.9,1.6,audi
3598, 4 Series,2016,Semi-Auto,46500,Diesel,160,52.3,3.0,bmw
9742, Polo,2016,Manual,30000,Petrol,20,58.9,1.0,vw
718, RAV4,2016,Automatic,101510,Hybrid,20,55.4,2.5,toyota
257, 5 Series,2019,Semi-Auto,5739,Diesel,145,62.8,2.0,bmw
5230, X5,2019,Semi-Auto,6960,Diesel,150,37.7,3.0,bmw
856, Yaris,2014,Semi-Auto,36555,Petrol,30,55.4,1.3,toyota
7791, Ka+,2019,Manual,2000,Petrol,145,43.5,1.2,ford
10082, Q3,2019,Automatic,5195,Diesel,145,48.7,2.0,audi
8557, Polo,2016,Manual,15664,Petrol,0,65.7,1.0,vw
4650, Q8,2019,Automatic,10200,Diesel,145,33.6,3.0,audi
10709, B-MAX,2016,Semi-Auto,29600,Petrol,160,44.1,1.6,ford
6780, T-Cross,2020,Manual,3152,Petrol,145,47.9,1.0,vw
8002, Polo,2017,Manual,15559,Petrol,150,60.1,1.2,vw
1618, A6,2016,Semi-Auto,29067,Diesel,30,61.4,2.0,audi
6429, A1,2018,Manual,11799,Petrol,150,47.9,1.0,audi
5944, C-HR,2018,Automatic,11252,Hybrid,135,74.3,1.8,toyota
10898, B Class,2012,Manual,65050,Diesel,125,61.4,1.8,mercedes
2546, Yaris,2018,Manual,42658,Petrol,145,58.9,1.5,toyota
174, A6,2015,Semi-Auto,56115,Diesel,160,50.4,3.0,audi
11313, Tiguan,2017,Manual,18250,Diesel,160,50.4,2.0,vw
8500, X1,2016,Manual,44434,Diesel,125,58.9,2.0,bmw
403, Mondeo,2015,Manual,55621,Diesel,30,64.2,2.0,ford
10969, C Class,2012,Automatic,86663,Petrol,160,44.8,1.6,mercedes
99, C Class,2019,Automatic,3000,Petrol,145,46.3,1.5,mercedes
6007, GLA Class,2017,Manual,14864,Diesel,145,67.3,2.1,mercedes
7273, CLS Class,2019,Semi-Auto,164,Petrol,145,31.4,2.0,mercedes
5269, Golf,2019,Automatic,10452,Petrol,145,43.5,1.5,vw
2485, Rapid,2017,Manual,23002,Petrol,145,57.7,1.2,skoda
6178, Q5,2016,Semi-Auto,28797,Diesel,240,42.8,3.0,audi
6475, Passat,2012,Manual,63000,Diesel,30,61.4,2.0,vw
8325, Tourneo Custom,2017,Manual,33650,Diesel,235,44.1,2.0,ford
15569, Focus,2016,Manual,18218,Diesel,0,74.3,1.5,ford
10667, A Class,2017,Manual,19275,Diesel,145,62.8,2.1,mercedes
4465, Golf,2014,Automatic,56000,Diesel,20,65.7,1.6,vw
13057, Fiesta,2018,Manual,10606,Petrol,145,65.7,1.0,ford
8555, Ka+,2018,Manual,19318,Petrol,145,57.7,1.2,ford
5546, A1,2017,Manual,27560,Petrol,150,67.3,1.0,audi
6303, Q3,2020,Manual,1501,Diesel,145,42.8,2.0,audi
11106, E Class,2009,Automatic,99844,Diesel,305,27.7,3.0,mercedes
10572, 3 Series,2019,Automatic,10206,Petrol,145,47.9,2.0,bmw
3855, Focus,2017,Manual,26437,Petrol,145,61.4,1.0,ford
9946, A Class,2016,Automatic,39000,Diesel,20,74.3,1.5,mercedes
2489, 2 Series,2019,Manual,8567,Diesel,150,51.4,2.0,bmw
11552, S Class,2017,Automatic,26000,Diesel,150,50.4,3.0,mercedes
8236, Fiesta,2013,Manual,45270,Petrol,30,54.3,1.2,ford
8514, Kuga,2019,Manual,8500,Diesel,145,47.9,2.0,ford
8974, Q3,2013,Automatic,82943,Diesel,200,47.9,2.0,audi
1507, 2 Series,2019,Manual,123,Diesel,145,64.2,2.0,bmw
656, T-Roc,2020,Automatic,250,Petrol,145,39.8,1.5,vw
9047, A Class,2019,Semi-Auto,6690,Petrol,145,53.3,1.3,mercedes
7966, A4,2012,Automatic,87000,Petrol,145,47.1,2.0,audi
3106, Auris,2015,Automatic,39912,Hybrid,0,76.4,1.8,toyota
1233, Golf,2017,Manual,34457,Petrol,20,60.1,1.4,vw
483, C-MAX,2018,Manual,6484,Diesel,145,68.9,1.5,ford
1240, A Class,2019,Semi-Auto,30200,Diesel,145,67.3,1.5,mercedes
540, Superb,2019,Automatic,4595,Diesel,145,54.3,2.0,skoda
15805, Focus,2018,Manual,36347,Petrol,145,60.1,1.0,ford
1337, Golf,2017,Manual,36002,Diesel,150,61.4,1.6,vw
2989, E Class,2019,Semi-Auto,3449,Diesel,145,61.4,2.0,mercedes
4325, A4,2018,Semi-Auto,23930,Petrol,145,38.7,3.0,audi
2817, A7,2019,Semi-Auto,13502,Diesel,150,47.1,2.0,audi
9566, Grand C-MAX,2017,Manual,4040,Petrol,145,54.3,1.0,ford
625, C Class,2017,Semi-Auto,27424,Diesel,145,65.7,2.1,mercedes
8372, Polo,2016,Manual,18263,Petrol,20,60.1,1.2,vw
6222, Kodiaq,2017,Semi-Auto,54441,Petrol,145,38.2,2.0,skoda
585, Yeti Outdoor,2017,Semi-Auto,12843,Petrol,125,51.4,1.2,skoda
11299, S-MAX,2017,Manual,36791,Diesel,145,56.5,2.0,ford
11143, Fiesta,2019,Manual,6123,Petrol,145,58.9,1.0,ford
12950, SL CLASS,2017,Automatic,15580,Diesel,30,70.6,2.1,mercedes
3957, 2 Series,2015,Semi-Auto,41532,Diesel,125,61.4,2.0,bmw
6365, Passat,2015,Manual,40500,Diesel,20,70.6,1.6,vw
8888, Fiesta,2014,Manual,29840,Diesel,0,76.4,1.5,ford
4733, Q5,2016,Manual,34991,Diesel,160,49.6,2.0,audi
6331, Passat,2016,Manual,94257,Diesel,20,67.3,2.0,vw
2156, Yaris,2019,Manual,13228,Petrol,145,47.9,1.5,toyota
169, T-Roc,2019,Automatic,6000,Diesel,145,49.6,2.0,vw
3231, X1,2016,Manual,21242,Diesel,20,68.9,2.0,bmw
9541, C Class,2017,Semi-Auto,19000,Petrol,145,47.1,2.0,mercedes
8615, Polo,2018,Manual,14855,Petrol,150,64.2,1.0,vw
17446, C-MAX,2009,Manual,89000,Petrol,200,40.9,1.6,ford
1865, 1 Series,2013,Semi-Auto,10239,Petrol,145,48.7,1.6,bmw
11628, Fiesta,2019,Manual,9565,Petrol,145,55.4,1.0,ford
10385, Q5,2019,Automatic,5098,Diesel,145,38.2,2.0,audi
6399, Passat,2016,Manual,76350,Diesel,0,76.3,1.6,vw
4950, Fiesta,2013,Manual,55211,Diesel,0,85.6,1.6,ford
7191, Polo,2017,Manual,42163,Petrol,145,60.1,1.2,vw
12722, Fiesta,2018,Manual,33615,Petrol,145,65.7,1.0,ford
7456, A6,2013,Manual,85100,Diesel,145,56.5,2.0,audi
880, Yaris,2019,Automatic,15100,Hybrid,135,76.3,1.5,toyota
8737, 3 Series,2018,Manual,27692,Diesel,145,68.9,2.0,bmw
2038, Rapid,2017,Manual,5476,Petrol,30,57.7,1.2,skoda
3892, 2 Series,2019,Semi-Auto,101,Diesel,145,67.3,2.0,bmw
4688, Golf,2017,Semi-Auto,29231,Petrol,150,55.4,1.4,vw
4422, 2 Series,2016,Manual,18807,Diesel,20,74.3,1.5,bmw
14513, Kuga,2017,Manual,96000,Diesel,150,54.3,2.0,ford
17107, Fiesta,2017,Manual,26000,Petrol,0,65.7,1.0,ford
3589, Golf,2019,Semi-Auto,14122,Petrol,145,42.2,1.5,vw
1400, Superb,2018,Semi-Auto,7672,Diesel,145,61.4,2.0,skoda
14863, Fiesta,2015,Automatic,26220,Petrol,0,57.7,1.0,ford
7622, 3 Series,2016,Automatic,35000,Diesel,160,51.4,3.0,bmw
6767, T-Cross,2019,Automatic,3800,Diesel,145,51.4,1.6,vw
12552, E Class,2019,Automatic,16916,Diesel,145,65.7,2.0,mercedes
1622, A3,2013,Manual,58867,Petrol,125,53.3,1.4,audi
13041, SL CLASS,2017,Automatic,11782,Diesel,30,70.6,2.1,mercedes
5430, 6 Series,2020,Semi-Auto,11,Petrol,145,42.8,2.0,bmw
3446, Auris,2014,Automatic,34611,Hybrid,0,72.4,1.8,toyota
4244, 5 Series,2019,Semi-Auto,7000,Petrol,145,50.4,2.0,bmw
4751, X4,2019,Semi-Auto,5763,Diesel,150,42.8,2.0,bmw
2224, Golf,2019,Manual,6000,Petrol,145,47.9,1.5,vw
3242, E Class,2016,Semi-Auto,16503,Diesel,20,72.4,2.0,mercedes
12754, E Class,2016,Automatic,31726,Petrol,160,46.3,2.0,mercedes
5673, A6,2019,Automatic,5235,Diesel,145,47.9,2.0,audi
2374, Yaris,2014,Automatic,24974,Hybrid,0,76.3,1.5,toyota
4650, 1 Series,2017,Manual,25491,Diesel,150,68.9,2.0,bmw
7338, Polo,2019,Manual,11368,Petrol,150,48.7,1.0,vw
1785, Focus,2018,Manual,12195,Petrol,145,41.5,2.0,ford
2702, Fabia,2019,Manual,5344,Petrol,145,57.7,1.0,skoda
1649, Golf,2014,Manual,60000,Petrol,205,39.8,2.0,vw
1929, Yaris,2019,Automatic,5896,Petrol,145,47.9,1.5,toyota
9919, Q3,2014,Manual,20255,Petrol,235,38.7,2.0,audi
2516, Kodiaq,2019,Automatic,7622,Petrol,145,31.7,2.0,skoda
6367, Avensis,2016,Manual,19862,Diesel,20,67.3,1.6,toyota
3698, Focus,2019,Manual,8686,Diesel,145,62.8,1.5,ford
9137, C Class,2019,Manual,3162,Petrol,145,47.1,1.6,mercedes
832, A Class,2016,Manual,33626,Petrol,145,49.6,1.6,mercedes
5458, E Class,2015,Semi-Auto,48584,Diesel,125,61.4,2.1,mercedes
3150, 1 Series,2016,Manual,10937,Diesel,30,65.7,2.0,bmw
4215, Aygo,2018,Manual,23741,Petrol,145,56.5,1.0,toyota
138, Octavia,2019,Automatic,13892,Petrol,145,57.7,1.0,skoda
7075, C Class,2019,Semi-Auto,100,Diesel,145,64.2,2.0,mercedes
14648, B-MAX,2016,Manual,19659,Diesel,0,74.4,1.5,ford
8438, Focus,2017,Manual,24610,Diesel,150,67.3,2.0,ford
265, Kamiq,2019,Manual,2300,Petrol,145,47.9,1.0,skoda
11558, C Class,2013,Automatic,63930,Diesel,145,53.3,2.1,mercedes
8791, GLA Class,2017,Semi-Auto,12501,Diesel,145,56.5,2.1,mercedes
5361, 1 Series,2018,Semi-Auto,14602,Diesel,145,60.1,2.0,bmw
5207, A4,2018,Automatic,16953,Petrol,145,48.7,2.0,audi
9776, CL Class,2017,Automatic,20000,Diesel,145,70.6,2.1,mercedes
6200, Passat,2016,Semi-Auto,35710,Diesel,30,60.1,2.0,vw
515, Fabia,2017,Manual,30713,Petrol,20,60.1,1.2,skoda
3374, 5 Series,2017,Semi-Auto,36779,Diesel,145,62.8,2.0,bmw
12278, GLA Class,2017,Automatic,58268,Diesel,30,64.2,2.1,mercedes
12360, Focus,2019,Manual,4000,Petrol,145,58.9,1.0,ford
8395, Ka+,2018,Manual,11990,Petrol,150,43.5,1.2,ford
1178, C Class,2016,Semi-Auto,35721,Diesel,30,64.2,2.1,mercedes
8111, A Class,2019,Semi-Auto,3345,Petrol,145,53.3,1.3,mercedes
2471, 1 Series,2017,Manual,20302,Petrol,145,36.2,3.0,bmw
408, X3,2015,Semi-Auto,35500,Diesel,200,47.9,3.0,bmw
3345, Golf,2019,Automatic,3652,Petrol,145,36.2,2.0,vw
1764, 3 Series,2015,Semi-Auto,27721,Diesel,30,64.2,2.0,bmw
3374, Auris,2015,Automatic,18102,Hybrid,0,72.4,1.8,toyota
5431, 3 Series,2020,Manual,4,Diesel,145,54.3,2.0,bmw
8392, Fiesta,2018,Manual,14000,Petrol,145,65.7,1.0,ford
633, Octavia,2017,Semi-Auto,24334,Petrol,145,42.8,2.0,skoda
102, Kuga,2017,Manual,26597,Diesel,145,54.3,2.0,ford
9901, CL Class,2016,Manual,37483,Diesel,30,65.7,2.1,mercedes
6753, T-Cross,2020,Automatic,3000,Petrol,150,45.6,1.0,vw
11764, EcoSport,2018,Manual,8206,Petrol,145,54.3,1.0,ford
239, Focus,2015,Manual,32000,Diesel,20,67.3,2.0,ford
7640, Fiesta,2018,Manual,31887,Petrol,145,56.5,1.0,ford
1544, Fabia,2018,Manual,8500,Petrol,150,64.2,1.0,skoda
1035, Yaris,2017,Manual,5760,Petrol,145,58.9,1.5,toyota
11839, CLA Class,2020,Automatic,6000,Petrol,145,40.9,2.0,mercedes
14970, KA,2017,Manual,16001,Petrol,145,57.7,1.2,ford
3538, SL CLASS,2017,Semi-Auto,30266,Diesel,30,70.6,2.1,mercedes
8977, Fiesta,2018,Manual,14881,Petrol,145,65.7,1.0,ford
14740, Kuga,2017,Automatic,28493,Petrol,235,38.2,1.5,ford
5270, A3,2019,Semi-Auto,3877,Petrol,150,34.9,2.0,audi
5322, Golf,2018,Manual,24200,Petrol,145,58.9,1.0,vw
14812, EcoSport,2016,Automatic,26759,Petrol,160,44.8,1.5,ford
14034, Arteon,2019,Semi-Auto,18000,Petrol,145,47.1,2.0,vw
5083, Aygo,2018,Manual,13482,Petrol,145,56.5,1.0,toyota
12768, Kuga,2015,Manual,63612,Diesel,145,54.3,2.0,ford
14678, Golf SV,2020,Automatic,2459,Petrol,145,42.8,1.5,vw
272, GLC Class,2017,Semi-Auto,23326,Diesel,150,56.5,2.1,mercedes
14779, Amarok,2017,Automatic,28347,Diesel,260,36.2,3.0,vw
8740, C Class,2015,Semi-Auto,20100,Diesel,30,61.4,2.1,mercedes
6386, 2 Series,2019,Semi-Auto,2501,Petrol,145,50.4,2.0,bmw
908, Q5,2019,Semi-Auto,3263,Diesel,145,38.2,2.0,audi
6845, GLA Class,2019,Semi-Auto,14858,Diesel,145,67.3,2.1,mercedes
3430, Auris,2013,Manual,54367,Petrol,125,51.4,1.3,toyota
2570, 4 Series,2019,Semi-Auto,1652,Petrol,145,45.6,2.0,bmw
2593, Golf,2016,Manual,11882,Petrol,145,47.1,2.0,vw
7855, C Class,2019,Semi-Auto,13,Diesel,145,55.4,2.0,mercedes
13610, Touareg,2016,Semi-Auto,45020,Diesel,235,42.8,3.0,vw
2196, CL Class,2018,Manual,13515,Diesel,145,65.7,2.1,mercedes
14087, Fiesta,2018,Manual,16373,Petrol,145,65.7,1.0,ford
1986, 3 Series,2019,Automatic,4586,Diesel,145,52.3,2.0,bmw
10875, C Class,2020,Automatic,6000,Diesel,145,55.4,2.0,mercedes
5877, M5,2019,Semi-Auto,551,Petrol,145,24.1,4.4,bmw
9595, 4 Series,2016,Automatic,25000,Diesel,160,52.3,3.0,bmw
1671, A4,2013,Manual,72011,Diesel,30,64.2,2.0,audi
4339, Fiesta,2017,Manual,25644,Petrol,0,65.7,1.0,ford
3592, Auris,2014,Automatic,49626,Hybrid,0,70.6,1.8,toyota
1233, Fiesta,2018,Manual,24038,Petrol,150,60.1,1.0,ford
3920, Focus,2017,Manual,24692,Petrol,145,41.5,2.0,ford
2289, 1 Series,2017,Semi-Auto,14193,Petrol,145,54.3,1.5,bmw
5072, 3 Series,2016,Automatic,19060,Diesel,145,53.3,3.0,bmw
4750, A Class,2019,Semi-Auto,8756,Petrol,145,53.3,1.3,mercedes
10982, GL Class,2015,Automatic,40319,Diesel,125,56.6,2.1,mercedes
2884, A3,2015,Manual,55200,Diesel,20,68.9,2.0,audi
3997, RS5,2019,Automatic,6000,Petrol,145,29.7,2.9,audi
7624, 1 Series,2015,Manual,62000,Petrol,125,50.4,1.6,bmw
13372, Caddy Maxi Life,2019,Semi-Auto,9793,Diesel,145,58.9,2.0,vw
7276, Focus,2018,Manual,23047,Petrol,145,56.5,1.0,ford
3481, Golf,2017,Automatic,18365,Hybrid,135,166.2,1.4,vw
7064, M3,2015,Semi-Auto,37249,Petrol,300,34.0,3.0,bmw
10125, Kuga,2017,Manual,24759,Diesel,150,64.2,1.5,ford
3973, Golf,2019,Manual,15116,Petrol,145,49.6,1.0,vw
8008, Edge,2017,Semi-Auto,41726,Diesel,160,48.7,2.0,ford
9682, A3,2015,Manual,63769,Diesel,20,68.9,2.0,audi
4565, Aygo,2018,Manual,12616,Petrol,145,56.5,1.0,toyota
955, Q3,2019,Automatic,1000,Diesel,145,47.1,2.0,audi
9929, Fiesta,2018,Manual,4651,Petrol,145,64.2,1.1,ford
1419, CL Class,2016,Semi-Auto,8008,Diesel,20,67.3,2.1,mercedes
526, T-Roc,2018,Manual,16169,Petrol,145,53.3,1.5,vw
5166, Golf,2017,Manual,38405,Diesel,145,60.1,2.0,vw
3663, Scala,2019,Semi-Auto,3430,Petrol,145,45.6,1.5,skoda
14327, Fiesta,2017,Manual,19298,Petrol,145,65.7,1.0,ford
10999, S-MAX,2016,Manual,33770,Diesel,125,56.5,2.0,ford
6216, Fiesta,2017,Manual,15679,Petrol,145,65.7,1.0,ford
9766, E Class,2014,Automatic,21000,Diesel,125,57.7,2.1,mercedes
583, T-Roc,2019,Manual,4256,Diesel,145,50.4,1.6,vw
17879, Fiesta,2020,Manual,79,Petrol,145,56.5,1.0,ford
2256, Yaris,2017,Manual,21691,Petrol,30,58.0,1.3,toyota
2473, Grand C-MAX,2017,Manual,12628,Diesel,30,64.2,1.5,ford
6905, A Class,2019,Semi-Auto,9085,Petrol,145,53.3,1.3,mercedes
12906, EcoSport,2018,Manual,4036,Petrol,145,53.3,1.0,ford
7074, GLC Class,2019,Semi-Auto,3806,Diesel,145,56.5,2.1,mercedes
8956, Puma,2020,Manual,484,Petrol,145,50.4,1.0,ford
10191, A Class,2016,Manual,108000,Diesel,20,72.4,1.5,mercedes
6865, Tourneo Custom,2016,Manual,26807,Diesel,200,46.3,2.0,ford
16262, EcoSport,2018,Manual,13200,Petrol,145,54.3,1.0,ford
6099, A1,2020,Semi-Auto,3000,Petrol,145,44.8,1.0,audi
1488, 1 Series,2018,Semi-Auto,26268,Petrol,145,47.9,2.0,bmw
2070, GLE Class,2018,Semi-Auto,12100,Diesel,145,36.7,3.0,mercedes
3455, Auris,2017,Manual,35459,Petrol,30,58.9,1.2,toyota
7784, Fiesta,2019,Manual,7500,Petrol,145,60.1,1.0,ford
315, A Class,2016,Semi-Auto,17171,Petrol,165,45.6,2.0,mercedes
6891, C Class,2017,Semi-Auto,33475,Petrol,260,36.2,3.0,mercedes
11200, Mondeo,2020,Manual,2813,Diesel,145,51.4,2.0,ford
11395, A Class,2016,Manual,19891,Diesel,20,68.9,1.5,mercedes
4445, Rapid,2013,Semi-Auto,25542,Petrol,145,35.3,1.4,skoda
10754, Fiesta,2016,Manual,34296,Petrol,0,65.7,1.0,ford
3891, GLC Class,2019,Automatic,4749,Diesel,145,42.2,2.1,mercedes
1717, Yaris,2019,Manual,3900,Petrol,145,47.9,1.5,toyota
2980, 4 Series,2019,Semi-Auto,3516,Petrol,145,48.7,2.0,bmw
11587, E Class,2013,Automatic,85000,Diesel,160,52.3,2.1,mercedes
4040, C Class,2016,Semi-Auto,26483,Diesel,125,60.1,2.1,mercedes
11572, Fiesta,2019,Manual,3497,Petrol,145,55.4,1.1,ford
4880, Kuga,2017,Manual,14621,Diesel,145,60.1,2.0,ford
10077, 3 Series,2017,Manual,24589,Diesel,150,67.3,2.0,bmw
7137, EcoSport,2017,Manual,19814,Diesel,145,64.2,1.5,ford
