,price
1233,14250
3920,16690
2289,18480
5072,18257
4750,23680
10982,15999
2884,12230
3997,66990
7624,7990
13372,20994
7276,13495
3481,20990
7064,34269
10125,16395
3973,12390
8008,18998
9682,9216
4565,9999
955,36497
9929,9995
1419,20995
526,20412
5166,17499
3663,15990
14327,7849
10999,15000
6216,9430
9766,13990
583,19990
17879,14999
2256,9420
2473,12698
6905,21399
12906,14800
7074,35000
8956,22500
10191,9391
6865,16798
16262,13950
6099,23250
1488,17595
2070,45071
3455,10295
7784,14630
315,21998
6891,27699
11200,22499
11395,15595
4445,6641
10754,9775
3891,35990
1717,12933
2980,25490
11587,10490
4040,21991
11572,12990
4880,15000
10077,14200
7137,10495
2283,45475
2247,11170
17460,9700
2489,8995
2348,9195
5666,6780
5021,34995
1658,16592
11861,15499
1378,21690
13482,9995
5263,6999
1741,19932
315,15995
80,6700
15504,15800
5034,23490
16361,12999
3142,14995
3542,10498
4559,22990
5344,7800
5392,23000
1522,12995
3493,16896
3612,7295
7933,10998
3817,7410
3730,19000
453,29000
1361,26972
9608,11819
3465,13675
74,16000
5640,10500
8566,9510
8067,9995
2781,24475
5129,17299
17841,16500
2732,16275
4948,13995
8502,27900
7415,13495
6341,39995
7987,20990
6846,24449
230,22995
12640,10815
14009,30000
5988,18600
6082,14790
2401,10998
1315,7495
2237,25980
6008,12295
3468,17520
2289,13250
10321,24495
7429,3500
5009,23990
6678,12495
9280,7500
13137,19995
16247,20499
17185,12295
7936,22700
5335,15750
833,33990
7077,19995
1077,18998
6911,20489
2020,9995
4868,14490
9955,9999
995,16798
1341,10291
14957,9700
9415,7000
7008,15495
12360,17500
927,19991
3655,6698
1052,14998
1573,14992
7656,10990
13732,16383
3003,18495
13084,15995
3175,23500
8077,9500
6067,9991
5815,9691
2352,10460
9656,13295
3175,27980
10213,21333
4075,7995
2908,9695
7032,42000
3047,14795
13701,8000
10610,20100
6452,14495
3618,12699
727,28898
8997,15690
5077,22990
5013,16990
12484,12600
2089,21500
10023,21390
3082,43980
805,6295
5048,24966
11821,24500
10648,18979
6835,11699
1948,14066
8481,36930
6154,21995
3019,23590
6280,12990
7222,15387
12101,15299
4645,21999
4635,6875
11420,7610
17583,7200
16256,14995
6183,34139
13320,11400
1359,63320
476,18498
5902,32995
844,12450
10427,18391
9336,14799
3623,14200
9869,9599
1333,10210
4886,7995
16203,7650
3438,14275
1069,8498
10479,12400
8691,11500
105,26000
13153,16291
4214,27000
6861,10995
3290,13290
10674,16595
12861,17900
5015,37990
14614,16399
8391,9350
6068,27900
2857,19990
10832,24799
10039,17850
4054,29990
4315,6498
4513,12999
1410,17790
6876,12000
2180,20995
6793,21495
10098,26498
2799,6490
12994,6995
6559,25998
494,8298
8238,6500
7959,11990
7118,20449
4917,26995
1303,9988
4754,35500
10359,12200
6469,22250
6079,20981
5753,14485
1679,42732
16008,10750
3625,15307
11147,20990
9802,15265
5287,4285
2775,18688
4378,10530
4847,9275
246,5860
7676,10990
4276,8698
4508,15401
2322,26495
2249,14495
9284,16124
5762,23000
6007,11280
9406,17995
1070,14750
6885,31450
8939,8900
10184,12100
5717,17498
1294,12180
11115,11295
2918,20481
6273,7292
2765,30990
6599,22750
2299,13700
2527,11295
11062,18490
4695,19945
13591,35490
6155,22970
4759,22800
9229,12495
7828,18500
4471,16495
9461,8534
4825,18990
864,9998
5932,16495
10830,18000
3593,45995
1820,25498
5229,21497
5258,27480
1388,17298
327,39998
2007,18440
12522,15450
4480,19999
5504,10291
679,4395
9170,10790
11075,10000
2252,15995
7575,15490
5174,10820
3310,29990
913,24290
5762,31490
10136,18000
10801,37300
7205,20400
7315,25500
5880,29250
5884,14890
10059,42998
10475,8199
15124,13699
3861,8995
1574,11995
6483,8000
1570,9475
10440,28490
5813,18498
6217,12975
5057,15510
374,9189
7932,19299
13493,5950
9668,9500
12470,6592
642,18998
12020,21450
9663,14800
3186,20990
12137,11995
268,19995
12799,24500
9953,9599
9521,3299
4252,26190
2866,19790
6122,8000
10965,19347
7150,23249
11016,11899
10105,26000
10435,26291
11451,10000
12452,16500
7786,11930
5422,3990
14200,15495
16217,9795
14126,15798
5443,9800
6893,25750
9132,32499
7625,23444
4455,6690
6143,23998
12333,5290
8003,13000
5810,33950
14746,39999
8529,20790
1026,12570
4962,19000
17484,2690
6136,22590
4741,32490
4149,6495
16733,7295
10504,15200
1510,8680
13622,7980
11394,18800
1560,6991
7634,15444
4632,30950
5365,34452
9480,8999
1646,10491
14897,8000
5058,6599
6712,22850
1245,6990
4102,11990
4637,21944
11365,11899
1874,10795
4393,23499
8953,50599
945,26999
1476,8498
11544,15995
887,20990
9340,27990
10661,12000
5772,12500
1021,10998
2409,11270
6948,12999
10987,17799
2018,17750
6402,6245
2108,59990
2507,27750
16232,11495
10876,13399
11956,22750
17877,6900
13316,13000
12507,10701
6516,59995
1068,12147
6857,9295
3593,24995
9610,14290
11747,6850
2387,11480
5887,21388
7903,32500
11841,11795
8795,10295
5154,24995
14267,17999
4655,11997
5718,10900
2501,11995
9091,44991
4645,18738
12082,15490
11376,17499
724,33500
8694,38399
12564,40990
12983,17450
980,20990
12982,13800
2135,16172
9426,13695
15546,8000
7121,10280
5283,38995
4419,30899
9397,33995
2958,23990
3058,24990
10181,8491
6305,31310
951,17791
9027,15750
10098,17995
9944,17475
3894,22290
5205,16950
17635,13700
6914,20699
14684,16051
1148,8770
1308,9788
3134,17500
5320,11590
6748,21591
3674,15087
2790,11990
7353,27176
1396,10800
5497,9500
3666,31799
3437,27992
8192,13699
9016,32499
3093,12500
5233,32240
7117,20590
3095,19082
605,21495
6173,24999
8932,18999
5060,33990
3826,10490
5760,12450
7369,9120
9970,9790
3570,27300
4683,31750
2816,17970
10415,20490
3840,10295
4458,29995
2172,21195
8465,22049
4187,10998
5609,20500
2699,14495
9061,9899
2969,8495
4006,10200
8776,10950
13021,25900
2570,9800
131,8399
4774,14990
7116,38950
5177,10498
4307,8495
184,31498
10176,13289
5216,12990
6977,20995
8472,13299
6923,19999
12888,12000
1333,14995
2626,12240
415,13498
8027,18511
2493,29991
5315,5695
992,14000
9427,13999
14691,1999
12802,19790
9055,20000
2127,15988
2103,8995
6005,23799
3010,21995
6642,10895
7079,27995
2999,28371
283,15984
7291,19995
3600,17397
10174,27799
14172,8439
7835,16700
2047,14991
11975,16950
14759,10999
12399,9790
2724,3490
7295,11750
5047,30995
14096,10490
8037,17700
13482,40000
6888,8690
3956,28000
1334,53910
13119,6724
2305,28990
9208,23490
3705,17999
9371,14999
3572,10291
10851,14899
442,19490
13287,14490
4679,21750
7497,26599
406,27570
9189,30249
2153,34990
12712,12149
5163,7599
11471,17999
9072,14295
6592,22199
6749,19495
10462,48000
229,12500
6598,31986
8646,26999
3527,13000
7946,36000
6409,69995
7310,6995
1235,24499
3573,10990
3157,13995
5521,26500
13416,46950
4424,47440
1773,19998
8095,5999
3246,21700
3699,43480
363,11995
3992,13500
4939,14000
6704,20699
2576,9275
9166,8995
10056,29000
4961,20000
2586,11990
9090,10999
4038,13698
8910,13980
4265,39950
12605,13000
10769,16852
5775,30500
8009,6998
13641,18792
1382,23888
6213,20999
463,19995
6328,32890
10761,17200
4103,9890
7459,15965
1967,7495
3426,5458
479,16980
11092,35950
7409,8995
9822,13990
237,18998
828,22898
346,15995
10551,28698
8834,25879
12264,28950
6508,28781
5502,22800
9801,15265
77,7830
6691,17999
2883,24480
10554,19979
11626,4399
6549,13695
986,10998
8772,25549
5390,17200
9354,18949
9060,11490
10103,18695
4918,7495
3263,12995
80,26140
17376,999
6023,18900
659,19995
3542,40195
3116,12015
1378,8891
4988,8940
6666,15340
10452,17050
391,8898
8828,20799
17606,16500
440,23690
7894,18000
9828,15990
334,6998
10666,17000
9826,14650
7187,19875
2646,10995
8448,22666
2431,9550
2748,7250
9842,5099
13642,10000
2854,15990
5027,8998
2418,11271
2313,12000
10455,32000
2504,14999
16883,8299
7027,44000
560,12298
13043,29865
8435,12700
4549,8662
6382,32495
1270,54998
5201,10780
6570,14995
646,11998
8210,11990
4145,12495
456,27590
12813,7800
12053,9990
2066,9498
3141,10990
8065,26589
2979,48980
5139,8300
3294,9995
3360,7995
6313,30890
13196,11450
5890,24647
5728,50990
7860,12998
3008,18998
11598,7490
8373,9432
8560,23849
11952,30000
5367,10700
4474,29995
5409,8995
9608,13150
6826,13930
6427,34995
11828,18900
11648,15300
8433,14999
9555,3995
6288,30889
7159,8795
5535,9880
7702,24000
2000,12000
1502,19820
8874,11900
3350,16495
7035,28395
4778,28450
6398,25495
1477,6498
11134,17280
5583,7800
10166,14199
9402,13265
7537,12998
8368,17995
12017,7995
2913,26490
3336,14000
850,19995
10548,16999
17229,10999
500,17998
14964,26990
2035,25995
12412,6210
5459,17798
3576,9340
1744,44970
2786,23890
9437,5490
5790,55890
1279,14789
5001,33490
2390,18381
12114,20990
6243,15480
3515,13450
6180,8499
3060,26876
8524,14450
6038,27990
5155,32995
917,17498
932,10995
11927,8551
10442,12760
3107,27500
17544,7499
8042,26899
4610,8650
2224,15590
9053,25749
4107,15790
7534,17444
9660,6700
12895,5200
7310,10995
12278,14000
3759,10150
5881,53010
6278,26595
598,22498
3134,13995
2282,6950
2136,20480
11565,12295
5511,8750
3182,19712
6637,24498
3244,15718
3752,13450
2803,23250
8853,11000
118,8998
5030,27990
6972,7242
8653,62299
6705,22990
11439,13699
2491,17600
5699,18295
14855,5699
4796,8360
12056,7990
12018,3995
11054,17993
5268,22950
8159,9839
7876,8495
7248,19385
1214,16995
9150,7995
6965,20249
11547,20000
4584,20389
8608,32950
4536,11299
3720,19156
4014,11300
6031,8950
3526,12199
3342,11389
1543,12798
10749,9995
5903,29990
12129,12470
1312,12240
5954,15800
1334,9495
1134,12713
11697,29500
9680,14799
4327,20995
5041,23000
2520,12495
5474,25450
4009,23980
8213,14649
3057,30700
1534,19498
1159,19890
8629,14200
8369,15800
10567,9989
3621,34000
2679,11199
10573,18298
16299,15795
12619,11000
7787,25699
2483,15991
10138,11399
6308,17250
5057,22990
8865,16200
6991,11495
16220,4550
8490,19400
3727,5995
3848,23480
10265,10491
11207,21990
3107,37981
6295,33000
87,14500
10026,7995
5616,32026
9462,34990
12266,6990
6501,30990
7526,11495
5407,30672
8918,7980
6186,17391
13069,10492
5607,16980
14861,10995
9321,25699
14880,8399
6034,12400
9844,20000
2472,12750
1574,15870
1936,30990
1557,7495
8207,15940
12629,18800
1281,18898
2082,22601
3204,10091
14396,8483
15858,7499
12181,7995
1317,24440
5121,14472
11585,13290
12590,20000
10864,18199
17266,5485
4252,38990
2983,7995
6354,29995
10239,12695
4315,14066
378,12498
11709,9999
10057,31590
13335,16000
137,9500
13264,14990
6683,18099
4757,6995
3544,21500
6997,19500
7519,10995
11353,10599
6479,10995
6487,21950
16517,6495
1279,16040
14653,18900
2097,8994
3664,12990
3297,27998
5677,10100
11816,27990
17707,10995
183,17998
7875,47995
8978,11200
2784,15990
9292,32749
7124,24495
13955,9000
5743,10798
6574,13482
848,25000
8206,10698
6379,9770
15086,13700
5322,21312
14181,11400
605,27498
1805,17782
9445,53490
2621,12890
199,44985
262,8298
1354,68930
3091,15485
5944,34000
1066,49991
12510,12150
5623,17490
5577,13990
9901,16990
6885,23899
9835,9989
14612,9299
15538,15000
3540,13500
157,16200
6338,10395
6415,20950
1518,9995
574,21998
15080,6895
1978,18490
5988,16072
5836,5995
6152,24750
6968,9995
10202,18790
14023,26999
7456,20890
5928,25995
9826,40000
7950,8491
13207,15000
2274,64980
4691,37498
10222,8495
3068,13491
9946,11995
567,17410
5342,32450
4150,10890
7960,12990
4648,10991
5373,14495
2818,9995
14858,30990
3097,32250
6800,39500
45,20945
12053,23499
8500,17495
9782,33990
7213,8495
8924,15799
2398,9782
11472,9499
2224,22980
1257,16298
7538,49299
9698,18989
9300,14399
13314,7299
9738,9195
6850,16950
3387,52990
379,32990
14998,9298
1931,12000
5805,11995
53,6395
9281,9899
3861,7380
3441,8990
5110,10790
7254,12498
6937,6440
352,14498
951,18498
2003,16950
10905,12099
1575,9995
14084,18800
3428,30991
10217,10950
14723,14998
11165,25000
14520,6949
14959,25199
840,29990
2318,25824
88,19995
3085,8290
13994,27990
8669,32350
5786,18798
8299,24950
10616,22795
5045,34995
403,14998
6968,21840
9617,16189
4280,5995
1791,9999
11806,32950
108,10600
1470,24862
8563,11490
12450,13999
7655,23500
7356,7999
1044,17498
835,7498
2389,24980
2471,16498
14189,9511
8825,13600
2378,19891
8965,10500
7885,17500
3876,27998
6433,28950
2809,11795
6088,8500
9020,18299
1822,12500
3293,14698
12844,11490
1240,14498
15212,17289
10940,28990
2015,17985
8032,13995
11607,14695
11470,18790
3544,15990
5254,23450
1812,7999
10408,15895
414,36000
3322,25000
4043,27776
7095,7830
12522,11250
5950,19302
6600,18695
7691,21938
4266,9495
2225,18240
7205,19499
3592,22992
9855,11990
8506,10467
786,10995
8719,16500
12287,5491
8847,17500
5560,29500
1138,17660
2544,10995
1872,8545
9624,14750
11306,12499
3703,23499
10077,19998
1344,24989
4057,22590
4262,8998
10176,12392
6460,14990
658,22500
12783,8000
9564,30990
16321,9899
6034,19495
4236,44800
3749,12685
12444,10990
2557,26495
8378,7147
4146,21999
14587,15995
1974,26980
3537,17895
1229,9995
13394,20000
10316,16600
6917,7500
8603,25549
3748,17991
2087,15500
11504,24000
894,15490
8938,10995
8298,39599
16331,9275
2290,8900
3868,21450
1931,12449
4380,17410
10632,9990
6046,11300
14975,12799
1580,21167
10716,20100
9844,15990
4883,9850
153,19800
3960,15990
3912,14989
7377,27990
11503,14999
8532,26450
5970,1250
2970,11498
942,20698
6217,28970
2366,9995
3319,16990
6632,18450
7586,33444
4492,19995
3729,23500
8039,19499
4082,10500
5466,10690
9307,33990
2234,6995
5357,15370
1002,11695
7710,23299
13568,13795
1577,18795
14967,34950
15954,16499
2316,21490
1839,9290
12002,19500
8359,8999
6888,11560
2881,7491
4930,21480
4752,19790
2009,17698
10813,28490
1356,13838
15959,11850
17808,14000
2367,9000
5116,7900
63,14150
8673,134219
4095,19190
7421,12999
2126,13981
115,24915
13296,12000
14677,10249
9511,27990
9857,19990
4721,9495
7952,10481
6722,8498
11271,19999
10317,11340
3988,14690
10151,32995
6327,7498
4610,11999
8607,31450
6572,19175
6269,20490
5040,14990
2173,32995
4771,12700
12407,20250
2026,12995
14984,16790
10554,21999
4116,18490
1404,9900
3396,4960
1076,23888
4827,21700
10346,10200
7735,37399
13032,28479
1500,18450
14443,9999
2269,28790
1697,27498
13460,9000
14363,24500
11276,19699
1568,9895
4627,17495
12356,13500
9130,9490
9784,12490
1743,12803
1238,9998
774,22995
3862,54991
5263,22990
633,18950
3602,15037
11741,34990
1271,30804
11632,11490
5589,23633
7881,24999
8519,18799
4368,10995
13823,22465
7259,31899
7422,11099
3114,20000
5052,15360
9520,22490
4918,17990
10036,21998
6626,47712
14012,8990
11485,15790
2224,19995
4031,33990
9987,15995
10461,44000
7557,14695
16166,8250
9620,8389
7571,10950
10909,19299
885,8498
192,11900
4972,15995
3864,8990
1835,9995
2791,12650
9560,24950
5785,26462
14462,19790
9526,22990
10243,16499
786,14490
1177,11000
662,21990
1490,11700
5711,34888
13585,4995
9152,31491
9695,41000
7155,25879
5966,13500
4739,9897
11393,16199
5930,32375
9945,12990
10739,16000
11331,15000
5447,7489
4950,12399
5107,8999
8520,20000
6341,5995
8583,14200
6057,14195
5840,13020
12049,19991
8521,24849
1786,43500
10259,13200
9225,13250
6208,20000
3493,9200
11932,11111
1574,16595
2083,8000
14823,11699
9655,12800
6345,15785
4790,6721
1342,10700
12266,27000
7693,23700
1724,11000
14334,26495
5448,10000
54,14700
10984,12999
1537,11998
9042,14190
7167,19220
5857,21000
10343,18000
1580,7995
3868,20290
14183,11800
522,18490
4319,17490
3571,26999
9216,29124
1507,8900
1707,17998
685,10991
4245,16395
5113,42987
14052,10990
268,13998
6547,18250
12681,15499
6320,14199
4128,35000
1508,17698
10347,20000
1473,14290
14708,7999
7642,32000
13053,13995
669,24500
8250,31250
7834,14000
2476,17498
10952,19499
85,25000
6235,8130
13114,16495
3006,11298
3565,17999
4562,28999
4267,11998
5051,22290
9979,13480
1719,6160
5070,17190
5893,23466
12092,17800
5802,29486
5469,23000
2443,10498
3571,17850
7346,22549
3807,23750
1936,14995
3889,23499
8507,19888
4892,10995
15621,10499
9188,12495
9754,6770
515,21995
2136,9325
5293,26950
12087,29950
1994,9495
11366,20981
17964,8299
9200,9000
6052,24490
16838,4799
16252,8295
9101,22299
4083,11721
609,17995
5789,23912
7997,11982
12288,14700
12105,7995
1907,10295
4537,21500
6757,32949
3865,31276
4938,8895
5874,31436
5670,10995
1339,31998
11633,21850
7430,22000
12860,7295
14521,10798
4018,15495
13135,14350
4322,20950
3657,17992
4614,18241
5861,19900
13048,37990
16926,10250
6371,26441
690,9698
6955,26750
4087,11995
2890,8400
3968,11990
689,22790
9126,26219
2871,22230
10574,30995
8901,76469
2239,17480
16972,2795
2030,10595
9481,28990
2541,14990
4411,7870
1020,8850
3330,38990
11347,14499
9847,19725
3683,25299
9484,13500
8889,19799
2067,8869
4001,7995
8677,21299
2945,9985
7448,11995
3487,22995
16653,1995
11333,24990
8018,11000
7201,35349
5017,6895
7671,45699
7506,25299
4435,28190
4753,6995
9093,10591
7236,18489
7827,15460
3786,8190
10309,18999
5828,57633
14875,7799
3632,8499
5591,7300
7592,36500
3669,37000
3339,23450
224,12498
434,21998
3578,9440
10082,17500
4942,17999
9245,16490
362,22495
4402,24480
4535,11213
6710,19994
287,19899
3476,20490
4575,26989
3203,8191
14421,5450
13038,14698
14796,33495
7600,30444
10685,33357
420,21971
8382,9990
13780,19900
12870,8380
4726,10110
9925,47200
1613,23491
11321,34200
17199,24995
5015,14490
239,20991
295,14937
6839,9498
3503,10990
3958,9990
6736,3995
8564,10000
9453,11299
10091,8295
509,13610
4527,37990
4341,20995
1730,13500
5708,22450
7639,49000
10296,22995
3729,21980
10161,7995
1881,15750
6474,32995
5021,7395
2746,17891
7770,9641
11071,25990
14831,12995
6866,36749
12173,20000
3922,8790
10717,13600
12035,17940
2104,21211
5766,26000
7981,19986
944,15498
2993,15082
842,6698
12948,29995
7492,9999
7329,26199
5997,31876
12669,8950
7572,39500
5792,16000
4581,19490
7390,22890
6370,12850
16695,2495
4867,14799
10567,27690
1171,15995
16668,8599
3719,19980
3138,35230
10055,36498
7134,33995
9664,13300
17,18995
8085,29499
3333,16450
5147,48990
3927,19990
3317,11000
16903,3999
2738,18250
8064,35599
2986,23980
3466,10377
6174,12895
5768,36840
1364,19000
12463,16750
13334,18250
10053,10100
6523,23995
2301,4990
1446,14972
12259,19750
10120,20498
3038,13830
433,11998
2792,4290
10349,20700
1738,22491
6446,12800
5379,5000
957,17495
5456,51995
10854,14500
10168,23199
2131,17565
1640,27995
6459,19460
619,18998
10978,12499
3365,9480
11949,29050
7779,22099
13619,11980
10654,12400
4854,21980
4627,16000
14578,4852
9383,10500
11756,12327
7530,28699
8195,30499
398,17299
11051,22499
7683,10162
3189,13130
360,29995
5062,27146
1648,12998
2206,13690
5819,12791
4127,13891
9306,25299
156,25490
426,34232
6791,31299
5141,13799
6426,22305
10218,25998
4154,7990
558,32990
9502,10995
698,16995
9066,15295
2982,19000
2506,9849
8274,16190
7639,12295
3064,9288
13743,9595
853,19990
3288,49990
7239,33699
1766,14999
8189,9990
13463,50999
16445,6475
17650,7995
12488,20000
17104,17000
7413,10499
9144,28988
2378,19890
1623,9591
12263,22950
7412,10995
2781,37332
1350,19498
14542,10141
12894,16000
3743,34630
5740,24888
153,27995
5171,11000
878,21991
6545,14190
13047,28086
8890,14195
410,19498
3375,26000
3187,11322
2346,12600
1328,10700
10253,8100
2823,23850
4289,10990
2272,4698
13236,8000
5101,7500
9446,8250
4682,50576
7946,15580
12521,15500
3194,20980
17003,8217
6600,20699
6089,23750
8243,17890
644,11270
9559,22950
428,25000
1169,11995
4241,24295
9241,28490
4191,21500
6585,27916
12069,19000
6751,17995
1700,23444
10179,20698
6798,20996
13757,49000
11177,13790
8232,21970
4016,28990
1917,26500
3160,47980
13778,45900
2838,9362
2589,24791
7879,10120
2297,12991
315,11498
10275,19798
10626,17995
8024,10699
14514,9890
2768,22395
2073,15250
13952,26995
731,13691
10769,12300
796,14995
9515,16399
4428,8151
5901,16100
3710,10495
11742,17195
2521,12600
6237,5991
4758,11200
10664,11495
5720,20750
1521,6000
4804,17980
5328,18830
1083,11490
7379,8599
4182,12400
7930,12995
1890,16117
5845,44500
4328,10000
2599,24450
11795,18000
14576,9999
8867,15800
5980,13980
1163,16995
675,24990
1954,9815
9702,15299
4191,9610
13723,9345
6479,46950
5938,9390
2608,7220
8441,35149
68,12850
9525,6000
4696,13800
9033,18999
8190,10490
16185,7995
918,16440
11799,19795
2889,27990
4839,8990
11076,27950
6143,43980
6186,10000
686,17498
9292,8130
10439,29000
10487,15000
11650,12000
5558,22372
13546,2250
8941,8995
8091,14991
2129,16995
7501,16900
3453,8850
1209,17350
9873,12299
6573,56495
12718,14499
4305,11495
8,14250
4953,19995
5068,22490
8148,11462
2061,20890
10922,17621
14749,8499
6449,6990
2693,7900
83,17440
4374,6991
9519,21990
264,16495
4295,24700
16897,5879
7062,28950
8220,22199
14902,29490
330,13495
4023,22458
6176,26995
9317,29490
8350,23699
10266,12700
999,14298
5140,89990
11794,15850
14084,26999
1564,23440
748,17991
1973,16980
4130,18495
11753,25500
11988,6495
14636,15999
4719,27840
12086,13689
2455,38500
5582,13800
13599,32030
5055,56990
8877,16500
10367,32500
5766,28995
3695,10998
15521,10500
15415,6800
2304,12846
11583,17497
7455,12489
11786,28290
1479,19191
5655,19500
11108,21491
4366,26599
1226,12000
4733,29650
1002,7480
4630,22750
2877,26990
3583,10980
15548,9400
7579,17990
10599,19498
5686,24990
11593,12995
6812,44950
1563,10498
8393,8999
7531,10495
4463,44491
8606,8495
5993,12695
8905,14295
8820,14000
3468,23499
6508,5650
15861,1294
5967,21690
1939,17691
1600,19990
11941,25490
6698,33688
5467,6250
6901,10495
6758,17654
9413,10000
2854,13991
1978,14391
1817,12500
908,11498
10527,19395
8140,12540
5057,33690
6848,11500
5610,25950
4441,9450
6766,25490
8720,15800
2615,55981
3910,11390
3241,20790
10655,23900
3221,10850
2573,9496
12821,21190
13344,13498
10148,14670
12122,18250
781,20995
8409,11699
1903,12995
14751,8999
115,19800
4787,42525
5035,33990
4496,11900
794,15995
1444,24132
12606,7290
3217,18998
8801,15000
13159,5000
1802,10880
7929,20847
10288,7141
3591,21495
15580,10800
9110,34988
5607,19495
9574,10500
4142,16322
6586,17995
7953,12282
2976,8998
4000,14500
7057,19799
13372,19000
13005,9495
3862,11490
448,15998
6796,25990
5285,6000
13226,15299
12578,10790
6814,10999
4236,20499
10872,31995
560,13298
13652,21990
4288,29999
6211,17160
2472,16990
13063,11900
3650,18690
10116,21998
4294,11230
16,4250
5548,9490
5954,16540
6233,27950
4102,30995
6981,26000
3588,9037
5117,5500
4449,7370
347,35995
5029,15490
8182,11461
4494,15998
7493,8488
4394,11495
7644,10990
3144,25480
2198,13400
950,17500
3495,28491
13575,15493
8452,33899
17472,8200
12876,11500
2778,18750
12585,13800
13817,19300
11879,22798
5979,16292
13565,40499
10935,14500
1954,24998
487,16490
7343,11600
674,21450
732,2991
10169,9199
16546,7599
5898,19050
6143,10400
3392,24795
17406,10000
813,28621
10280,16450
10816,18500
4165,17480
2389,11995
10492,9400
4221,27000
2204,22720
8218,15940
9102,12499
782,23298
4589,8777
1324,21995
1848,16990
15868,9299
7441,6995
5781,24990
5631,22498
3713,14999
12743,5999
9116,12900
11562,12700
10315,24998
390,12998
9662,16800
2464,11495
719,6995
13213,6499
12062,26990
9378,9999
3102,5641
8895,15000
5458,58999
1702,19922
163,7398
6410,27661
1666,18134
14220,4500
1624,15995
6802,17490
5291,26950
5432,6450
1991,11298
4180,33790
6426,25490
3462,14790
2136,7599
5173,12000
10015,36440
9618,17500
1988,31998
3247,12450
5850,26500
4456,30910
5375,26946
2506,13495
11156,18980
1196,24995
15261,10200
4492,29480
8390,9250
